ID,Year,Group_Name,Persons,Area
1089,2002,4,478,7
1090,2002,4,281,5
1091,2002,4,27,6
1092,2002,4,1039,7
1093,2002,4,4,8
1094,2002,4,0,9
1095,2002,4,113,10
1096,2002,4,16,11
1097,2002,4,551,12
1098,2002,4,638,13
1099,2002,4,167,5
1100,2002,4,991,15
1101,2002,4,648,16
1102,2002,4,1434,17
1103,2002,4,897,7
1104,2002,4,0,19
1105,2002,4,2530,20
1106,2002,4,1792,21
1107,2002,4,0,22
1108,2002,4,6,23
1109,2002,4,4,24
1110,2002,4,0,25
1111,2002,4,1514,26
1112,2002,4,21,27
1113,2002,4,168,28
1114,2002,4,1061,29
1115,2002,4,1,30
1116,2002,4,1532,31
1117,2002,4,65,32
1118,2002,4,1093,7
1119,2002,4,38,34
1120,2002,4,869,35
1121,2003,4,7,1
1122,2003,4,2216,2
1123,2003,4,2,3
1124,2003,4,649,4
1125,2003,4,374,5
1126,2003,4,18,6
1127,2003,4,424,7
1128,2003,4,2,8
1129,2003,4,0,9
1130,2003,4,438,7
1131,2003,4,13,11
1132,2003,4,530,12
1133,2003,4,461,13
1134,2003,4,202,14
1135,2003,4,751,15
1136,2003,4,180,16
1137,2003,4,1249,17
1138,2003,4,940,18
1139,2003,4,0,19
1140,2003,4,2625,20
1141,2003,4,1590,21
1142,2003,4,0,22
1143,2003,4,4,23
1144,2003,4,9,24
1145,2003,4,0,7
1146,2003,4,1364,26
1147,2003,4,13,27
1148,2003,4,175,28
1149,2003,4,1012,29
1150,2003,4,0,30
1151,2003,4,1554,31
1152,2003,4,23,32
1153,2003,4,851,5
1154,2003,4,29,34
1155,2003,4,655,35
1156,2004,4,1,1
1157,2004,4,2123,2
1158,2004,4,4,7
1159,2004,4,799,4
1160,2004,4,525,5
1161,2004,4,10,6
1162,2004,4,1050,7
1163,2004,4,5,8
1164,2004,4,0,9
1165,2004,4,147,10
1166,2004,4,12,11
1167,2004,4,510,12
1168,2004,4,588,13
1169,2004,4,224,14
1170,2004,4,1316,15
1171,2004,4,180,16
1172,2004,4,1186,17
1173,2004,4,1223,5
1174,2004,4,0,19
1175,2004,4,2660,20
1176,2004,4,1416,21
1177,2004,4,0,22
1178,2004,4,7,23
1179,2004,4,1,24
1180,2004,4,2,25
1181,2004,4,1588,26
1182,2004,4,41,27
